source_record_id,relationship_type,target_record_id,evidence_url,evidence_source_type,evidence_summary,confidence,review_date,notes,source_canonical_name,target_canonical_name,catalog_version
mm_retinal_reason,derived_from,stage_task1,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,STAGE 2023 Task 1 — Mean Deviation Prediction from OCT,0.3.0
mm_retinal_reason,derived_from,stage_task2,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,STAGE 2023 Task 2 — Visual Field Sensitivity Map Prediction,0.3.0
mm_retinal_reason,derived_from,stare,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,STARE: Structured Analysis of the Retina,0.3.0
mm_retinal_reason,derived_from,sustech_sysu,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,versioned_official_dataset_card,The version-pinned official dataset card lists this record among the CFP or OCT sources used to construct MM-Retinal-Reason.,confirmed,2026-08-01,Generic or non-cataloged names in the card were not forced to catalog targets.,MM-Retinal-Reason: Ophthalmology Multimodal Reasoning Dataset,SUSTech-SYSU Diabetic Retinopathy + Exudate Dataset,0.3.0
multieye,derived_from,ddr,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,DDR: Diabetic Retinopathy Detection & Grading,0.3.0
multieye,derived_from,eyepacs,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,EyePACS — Diabetic Retinopathy Detection (Kaggle 2015),0.3.0
multieye,derived_from,fives,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,FIVES: Fundus Image Vessel Segmentation,0.3.0
multieye,derived_from,goals,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,GOALS — Glaucoma OCT Layer Segmentation (MICCAI 2022),0.3.0
multieye,derived_from,hassan_composite_retina,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,Composite Retinal Fundus and OCT Dataset with Clinical Markings,0.3.0
multieye,derived_from,kermany_oct,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,Kermany OCT 2018: Retinal OCT Image Classification,0.3.0
multieye,derived_from,messidor2,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,MESSIDOR-2,0.3.0
multieye,derived_from,octid,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,OCTID: OCT Image Database,0.3.0
multieye,derived_from,odir2019,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,ODIR-2019: Ocular Disease Intelligent Recognition,0.3.0
multieye,derived_from,rfmid,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,RFMiD: Retinal Fundus Multi-disease Image Dataset,0.3.0
multieye,derived_from,rfmid2,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,RFMiD 2.0 Auxiliary Multi-Disease Fundus Dataset,0.3.0
multieye,derived_from,stare,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,STARE: Structured Analysis of the Retina,0.3.0
multieye,derived_from,vietai_retinal_disease,https://arxiv.org/abs/2412.09402,associated_publication,The MultiEYE paper names this record as one of the public fundus or OCT sources assembled for the benchmark.,confirmed,2026-08-01,"MMC-AMD, 1000Fundus39Cat, and ARIA are not separate EyeDataHub records.",MultiEYE: OCT-Enhanced Fundus Multi-Disease Benchmark,VietAI Retinal Disease Detection 2020,0.3.0
mured,derived_from,rfmid,https://doi.org/10.17632/pc4mb3h8hz.1,official_repository_metadata,"The MuReD description identifies STARE, RFMiD, and ARIA as image sources and applies post-processing.",confirmed,2026-08-01,ARIA is not a separate EyeDataHub record.,MuReD: Multi-label Retinal Diseases Dataset,RFMiD: Retinal Fundus Multi-disease Image Dataset,0.3.0
mured,derived_from,stare,https://doi.org/10.17632/pc4mb3h8hz.1,official_repository_metadata,"The MuReD description identifies STARE, RFMiD, and ARIA as image sources and applies post-processing.",confirmed,2026-08-01,ARIA is not a separate EyeDataHub record.,MuReD: Multi-label Retinal Diseases Dataset,STARE: Structured Analysis of the Retina,0.3.0
rao_fundus,derived_from,jsiec,https://doi.org/10.17632/5428684j44.2,official_repository_metadata,The RAO source reports use of public web images plus RFMiD and JSIEC images.,confirmed,2026-08-01,,RAO Retinal Artery Occlusion Fundus Photography Dataset,JSIEC Fundus Photo Dataset,0.3.0
rao_fundus,derived_from,rfmid,https://doi.org/10.17632/5428684j44.2,official_repository_metadata,The RAO source reports use of public web images plus RFMiD and JSIEC images.,confirmed,2026-08-01,,RAO Retinal Artery Occlusion Fundus Photography Dataset,RFMiD: Retinal Fundus Multi-disease Image Dataset,0.3.0
refuge1_multirater,derived_from,refuge2018,https://huggingface.co/datasets/realslimman/REFUGE-MultiRater,official_dataset_card,"The source provides seven-rater annotations for the 1,200 REFUGE challenge images.",confirmed,2026-08-01,,REFUGE Multi-Rater — Glaucoma with Multi-Expert Annotations,REFUGE 2018: Retinal Fundus Glaucoma Challenge,0.3.0
refuge2,version_of,refuge2018,https://refuge.grand-challenge.org/,official_challenge_publication,"REFUGE2 contains all 1,200 REFUGE images and adds 800 images from another domain.",confirmed,2026-08-01,,REFUGE2 — Retinal Fundus Glaucoma Challenge 2,REFUGE 2018: Retinal Fundus Glaucoma Challenge,0.3.0
reta_benchmark,derived_from,idrid,https://doi.org/10.6084/m9.figshare.16960855,official_repository_metadata,RETA reuses 81 images from the first IDRiD subset and adds vascular-tree annotations.,confirmed,2026-08-01,,RETA Benchmark for Retinal Vascular Tree Analysis,IDRiD: Indian Diabetic Retinopathy Image Dataset,0.3.0
retinal_vessel_robustness,derived_from,chase_db1,https://zenodo.org/records/12659652,official_repository_metadata,"The robustness benchmark contains augmented versions of DRIVE, STARE, and CHASE_DB1 images.",confirmed,2026-08-01,,Natural Robustness Benchmark for Retinal Vessel Segmentation,CHASE_DB1: Child Heart and Health Study in England,0.3.0
retinal_vessel_robustness,derived_from,drive,https://zenodo.org/records/12659652,official_repository_metadata,"The robustness benchmark contains augmented versions of DRIVE, STARE, and CHASE_DB1 images.",confirmed,2026-08-01,,Natural Robustness Benchmark for Retinal Vessel Segmentation,DRIVE: Digital Retinal Images for Vessel Extraction,0.3.0
retinal_vessel_robustness,derived_from,stare,https://zenodo.org/records/12659652,official_repository_metadata,"The robustness benchmark contains augmented versions of DRIVE, STARE, and CHASE_DB1 images.",confirmed,2026-08-01,,Natural Robustness Benchmark for Retinal Vessel Segmentation,STARE: Structured Analysis of the Retina,0.3.0
rfmid2,extension_of,rfmid,https://zenodo.org/records/7505822,official_repository_metadata,"RFMiD 2.0 is described as an auxiliary dataset to the earlier RFMiD release, not as the same image cohort.",confirmed,2026-08-01,,RFMiD 2.0 Auxiliary Multi-Disease Fundus Dataset,RFMiD: Retinal Fundus Multi-disease Image Dataset,0.3.0
riga_plus,derived_from,riga,https://zenodo.org/records/6325549,official_repository_metadata,RIGA+ is built from RIGA components plus the original MESSIDOR resource after duplicate removal.,confirmed,2026-08-01,"The source says MESSIDOR, not MESSIDOR-2; no edge to messidor2 is encoded.",RIGA+ Domain Adaptation Dataset,RIGA: Retinal Fundus Images for Glaucoma Analysis,0.3.0
rite,derived_from,drive,https://medicine.uiowa.edu/eye/rite-dataset,official_project_page,"RITE adds artery, vein, and vessel-tree labels to the same 40 DRIVE images.",confirmed,2026-08-01,,RITE: Retinal Images Vessel Tree Extraction (Artery/Vein),DRIVE: Digital Retinal Images for Vessel Extraction,0.3.0
smdg,derived_from,airogs,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,AIROGS: AI for Robust Glaucoma Screening,0.3.0
smdg,derived_from,beh,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,BEH: Bangladesh Eye Hospital Glaucoma Dataset,0.3.0
smdg,derived_from,drishti_gs,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,DRISHTI-GS: Optic Disc and Cup Segmentation,0.3.0
smdg,derived_from,fives,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,FIVES: Fundus Image Vessel Segmentation,0.3.0
smdg,derived_from,g1020,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,G1020: Glaucoma Benchmark Fundus Dataset,0.3.0
smdg,derived_from,hrf,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,HRF: High-Resolution Fundus Image Database,0.3.0
smdg,derived_from,jsiec,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,JSIEC Fundus Photo Dataset,0.3.0
smdg,derived_from,odir2019,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,ODIR-2019: Ocular Disease Intelligent Recognition,0.3.0
smdg,derived_from,papila,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,PAPILA: Glaucoma Fundus Dataset with Clinical Data,0.3.0
smdg,derived_from,refuge2018,https://www.kaggle.com/datasets/deathtrooper/multichannel-glaucoma-benchmark-dataset,official_platform_metadata,The official SMDG source table lists this catalog record among the 19 standardized source domains.,confirmed,2026-08-01,"EyePACS-AIROGS is mapped to airogs, not the diabetic-retinopathy eyepacs record.",SMDG-19: Standardized Multi-channel Glaucoma Benchmark,REFUGE 2018: Retinal Fundus Glaucoma Challenge,0.3.0
stage_task1,same_or_overlapping_cohort_as,stage_task2,https://aistudio.baidu.com/aistudio/competition/detail/968/0/datasets,official_challenge_page,STAGE Tasks 1 and 2 use the same 400 OCT volumes and expose different labels.,confirmed,2026-08-01,,STAGE 2023 Task 1 — Mean Deviation Prediction from OCT,STAGE 2023 Task 2 — Visual Field Sensitivity Map Prediction,0.3.0
stage_task1,same_or_overlapping_cohort_as,stage_task3,https://aistudio.baidu.com/aistudio/competition/detail/968/0/datasets,official_challenge_page,STAGE Tasks 1 and 3 use the same 400 OCT volumes and expose different labels.,confirmed,2026-08-01,,STAGE 2023 Task 1 — Mean Deviation Prediction from OCT,STAGE 2023 Task 3 — Pattern Deviation Probability Map,0.3.0
stage_task2,same_or_overlapping_cohort_as,stage_task1,https://aistudio.baidu.com/aistudio/competition/detail/968/0/datasets,official_challenge_page,STAGE Tasks 1 and 2 use the same 400 OCT volumes and expose different labels.,confirmed,2026-08-01,,STAGE 2023 Task 2 — Visual Field Sensitivity Map Prediction,STAGE 2023 Task 1 — Mean Deviation Prediction from OCT,0.3.0
stage_task2,same_or_overlapping_cohort_as,stage_task3,https://aistudio.baidu.com/aistudio/competition/detail/968/0/datasets,official_challenge_page,STAGE Tasks 2 and 3 use the same 400 OCT volumes and expose different labels.,confirmed,2026-08-01,,STAGE 2023 Task 2 — Visual Field Sensitivity Map Prediction,STAGE 2023 Task 3 — Pattern Deviation Probability Map,0.3.0
stage_task3,same_or_overlapping_cohort_as,stage_task1,https://aistudio.baidu.com/aistudio/competition/detail/968/0/datasets,official_challenge_page,STAGE Tasks 1 and 3 use the same 400 OCT volumes and expose different labels.,confirmed,2026-08-01,,STAGE 2023 Task 3 — Pattern Deviation Probability Map,STAGE 2023 Task 1 — Mean Deviation Prediction from OCT,0.3.0
stage_task3,same_or_overlapping_cohort_as,stage_task2,https://aistudio.baidu.com/aistudio/competition/detail/968/0/datasets,official_challenge_page,STAGE Tasks 2 and 3 use the same 400 OCT volumes and expose different labels.,confirmed,2026-08-01,,STAGE 2023 Task 3 — Pattern Deviation Probability Map,STAGE 2023 Task 2 — Visual Field Sensitivity Map Prediction,0.3.0
trend2_fundus,extension_of,trend_fundus,https://zenodo.org/records/7678656,official_repository_metadata,TREND2 is described as an addition to the TREND portable-fundus resource.,confirmed,2026-08-01,,TREND2 Chronic Disease Portable Fundus Dataset,TREND Portable Fundus Microvascular Network Dataset,0.3.0
x_pcr,derived_from,aptos2019,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,APTOS 2019 Blindness Detection,0.3.0
x_pcr,derived_from,beh,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,BEH: Bangladesh Eye Hospital Glaucoma Dataset,0.3.0
x_pcr,derived_from,deepdrid,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,DeepDRiD: Diabetic Retinopathy Grading and Image Quality Dataset,0.3.0
x_pcr,derived_from,eye_disease_image_mendeley,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,Eye Disease Image Dataset,0.3.0
x_pcr,derived_from,eyepacs,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,EyePACS — Diabetic Retinopathy Detection (Kaggle 2015),0.3.0
x_pcr,derived_from,harvard_gdp,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,Harvard GDP: Glaucoma Detection and Progression Dataset,0.3.0
x_pcr,derived_from,jsiec,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,JSIEC Fundus Photo Dataset,0.3.0
x_pcr,derived_from,kermany_oct,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,Kermany OCT 2018: Retinal OCT Image Classification,0.3.0
x_pcr,derived_from,mured,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,MuReD: Multi-label Retinal Diseases Dataset,0.3.0
x_pcr,derived_from,oct_c8,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,Retinal OCT-C8: 8-Class OCT Classification,0.3.0
x_pcr,derived_from,octid,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,OCTID: OCT Image Database,0.3.0
x_pcr,derived_from,odir2019,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,ODIR-2019: Ocular Disease Intelligent Recognition,0.3.0
x_pcr,derived_from,oimhs,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,OIMHS: OCT Image Macular Hole Segmentation Dataset,0.3.0
x_pcr,derived_from,rfmid2,https://huggingface.co/datasets/Fantasy666/X-PCR/tree/06a318fd852230326386e3c6514d8a11b7a6b4af,versioned_official_deposit_metadata,Source labels in the version-pinned public X-PCR deposit identify this catalog record as upstream material.,confirmed,2026-08-01,The 2023 APTOS angiography source is distinct from APTOS2019 and was not mapped to it.,X-PCR Ophthalmology Progressive Clinical Reasoning Benchmark,RFMiD 2.0 Auxiliary Multi-Disease Fundus Dataset,0.3.0
