record_id,canonical_name,catalog_version,catalog_search_cutoff,identity_review_date,current_catalog_record,resource_role,resource_role_definition,dataset_family_id,dataset_family_member_count,dataset_family_members,outgoing_relationship_types,outgoing_relationship_targets,incoming_relationship_sources,relationship_evidence_urls,official_source_url,counting_rule
dryad_iris_surface_features,Iris Surface Features Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_iris_surface_features,1,dryad_iris_surface_features,,,,,https://doi.org/10.5061/dryad.0kt87,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_karachi_cataract_outcomes,Karachi Cataract Surgery Quality Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_karachi_cataract_outcomes,1,dryad_karachi_cataract_outcomes,,,,,https://doi.org/10.5061/dryad.7q5c7,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_lens_fluorescence_twins,Long-term development of lens fluorescence in a twin cohort: Heritability and effects of age and lifestyle,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_lens_fluorescence_twins,1,dryad_lens_fluorescence_twins,,,,,https://doi.org/10.5061/dryad.mcvdnck22,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_lvpei_cataract_outcomes,LVPEI Cataract Surgery Outcome Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_lvpei_cataract_outcomes,1,dryad_lvpei_cataract_outcomes,,,,,https://doi.org/10.5061/dryad.71hp4,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_moorfields_amd_1_2_year,One and two year visual outcomes from the Moorfields age-related macular degeneration database: a retrospective cohort study and an open science resource,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_moorfields_amd_1_2_year,1,dryad_moorfields_amd_1_2_year,same_or_overlapping_cohort_as,dryad_moorfields_namd_fellow_eye|dryad_namd_oct_quant|dryad_namd_visual_prediction,dryad_moorfields_namd_fellow_eye|dryad_namd_oct_quant|dryad_namd_visual_prediction,https://doi.org/10.5061/dryad.2rbnzs7m4|https://doi.org/10.5061/dryad.4mw6m906b|https://doi.org/10.5061/dryad.573n5tb5d|https://doi.org/10.5061/dryad.97r9289,https://doi.org/10.5061/dryad.97r9289,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_moorfields_namd_fellow_eye,Moorfields nAMD Fellow-Eye Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_moorfields_namd_fellow_eye,1,dryad_moorfields_namd_fellow_eye,same_or_overlapping_cohort_as,dryad_moorfields_amd_1_2_year|dryad_namd_oct_quant|dryad_namd_visual_prediction,dryad_moorfields_amd_1_2_year|dryad_namd_oct_quant|dryad_namd_visual_prediction,https://doi.org/10.5061/dryad.2rbnzs7m4|https://doi.org/10.5061/dryad.4mw6m906b|https://doi.org/10.5061/dryad.573n5tb5d|https://doi.org/10.5061/dryad.97r9289,https://doi.org/10.5061/dryad.4mw6m906b,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_myopia_glaucoma_visual_field,Myopia and Glaucoma Visual Field Prognosis Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_myopia_glaucoma_visual_field,1,dryad_myopia_glaucoma_visual_field,,,,,https://doi.org/10.5061/dryad.1n50q,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_namd_12_year_survival,Insights from survival analyses during 12 years of anti-VEGF therapy for neovascular age-related macular degeneration,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_namd_12_year_survival,1,dryad_namd_12_year_survival,,,,,https://doi.org/10.5061/dryad.nvx0k6dqg,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_namd_oct_longitudinal,Quantifying changes on optical coherence tomography in eyes receiving treatment for neovascular age-related macular degeneration,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_namd_oct_longitudinal,1,dryad_namd_oct_longitudinal,,,,,https://doi.org/10.5061/dryad.8cz8w9h0v,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_namd_oct_quant,Moorfields nAMD Quantitative OCT Biomarker Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_namd_oct_quant,1,dryad_namd_oct_quant,same_or_overlapping_cohort_as,dryad_moorfields_amd_1_2_year|dryad_moorfields_namd_fellow_eye|dryad_namd_visual_prediction,dryad_moorfields_amd_1_2_year|dryad_moorfields_namd_fellow_eye|dryad_namd_visual_prediction,https://doi.org/10.5061/dryad.2rbnzs7m4|https://doi.org/10.5061/dryad.4mw6m906b|https://doi.org/10.5061/dryad.573n5tb5d|https://doi.org/10.5061/dryad.97r9289,https://doi.org/10.5061/dryad.2rbnzs7m4,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_namd_ten_year_survival,Ten-year survival trends of neovascular age-related macular degeneration at first presentation,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_namd_ten_year_survival,1,dryad_namd_ten_year_survival,,,,,https://doi.org/10.5061/dryad.9cnp5hqfm,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_namd_visual_prediction,Moorfields nAMD Visual-Change Prediction Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_namd_visual_prediction,1,dryad_namd_visual_prediction,same_or_overlapping_cohort_as,dryad_moorfields_amd_1_2_year|dryad_moorfields_namd_fellow_eye|dryad_namd_oct_quant,dryad_moorfields_amd_1_2_year|dryad_moorfields_namd_fellow_eye|dryad_namd_oct_quant,https://doi.org/10.5061/dryad.2rbnzs7m4|https://doi.org/10.5061/dryad.4mw6m906b|https://doi.org/10.5061/dryad.573n5tb5d|https://doi.org/10.5061/dryad.97r9289,https://doi.org/10.5061/dryad.573n5tb5d,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_nigeria_cataract_services,Nigeria Cataract Services Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_nigeria_cataract_services,1,dryad_nigeria_cataract_services,,,,,https://doi.org/10.5061/dryad.13bp2,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_ocular_chemical_injuries_shanghai,Clinical characteristics of patients hospitalized for ocular chemical injuries in Shanghai from 2012 to 2017,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_ocular_chemical_injuries_shanghai,1,dryad_ocular_chemical_injuries_shanghai,,,,,https://doi.org/10.5061/dryad.9707661,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_ocular_surface_amr,Ocular Surface AMR Keratitis Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_ocular_surface_amr,1,dryad_ocular_surface_amr,,,,,https://doi.org/10.5061/dryad.6t1g1jx9s,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_optic_neuritis_metacontrast,Dichoptic metacontrast masking functions to infer transmission delay in optic neuritis,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_optic_neuritis_metacontrast,1,dryad_optic_neuritis_metacontrast,,,,,https://doi.org/10.5061/dryad.cp4j7,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_pediatric_corneal_endothelium,Corneal endothelial morphology of healthy myopic Malaysian children of Chinese ethnicity aged 8-9 years and its association with axial length,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_pediatric_corneal_endothelium,1,dryad_pediatric_corneal_endothelium,,,,,https://doi.org/10.5061/dryad.hhmgqnkjc,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_pediatric_myopia_longitudinal,Axial length elongation and myopia incidence increase in primary school-age children: 3-year follow-up study,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_pediatric_myopia_longitudinal,1,dryad_pediatric_myopia_longitudinal,,,,,https://doi.org/10.5061/dryad.d4mb3pn,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_pediatric_optical_quality,Intra- and intersession repeatability of an optical quality and intraocular scattering measurement system in children,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_pediatric_optical_quality,1,dryad_pediatric_optical_quality,,,,,https://doi.org/10.5061/dryad.bm8nv,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_pediatric_secondary_iol,Pediatric Secondary IOL Outcome Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_pediatric_secondary_iol,1,dryad_pediatric_secondary_iol,,,,,https://doi.org/10.5061/dryad.5t9d1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_pk31jt2,Data from: Low incidence of choroidal neovascularization following subthreshold diode micropulse laser (SDM) in high-risk AMD,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_pk31jt2,1,dryad_pk31jt2,,,,,https://doi.org/10.5061/dryad.pk31jt2,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_pnvx0k6hv,Time trends and associated factors of axial length in 4 and 5 year-olds children in Shanghai from 2013 to 2019,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_pnvx0k6hv,1,dryad_pnvx0k6hv,,,,,https://doi.org/10.5061/dryad.pnvx0k6hv,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_preeclampsia_ocular_octa,Plane wave ultrasound and OCT angiography of the eye in preeclampsia,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_preeclampsia_ocular_octa,1,dryad_preeclampsia_ocular_octa,,,,,https://doi.org/10.5061/dryad.j0zpc86kg,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_pvd_diagnostic_oct,"Accuracy of biomicroscopy, ultrasonography and spectral-domain OCT in detection of complete posterior vitreous detachment",0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_pvd_diagnostic_oct,1,dryad_pvd_diagnostic_oct,,,,,https://doi.org/10.5061/dryad.h44j0zpnp,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_pzgmsbcfw,Anti-vegf therapy in diabetic macular oedema patients over four years,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_pzgmsbcfw,1,dryad_pzgmsbcfw,,,,,https://doi.org/10.5061/dryad.pzgmsbcfw,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_qfttdz0dr,Association of APOE gene polymorphisms with primary open angle glaucoma in Brazilian patients,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_qfttdz0dr,1,dryad_qfttdz0dr,,,,,https://doi.org/10.5061/dryad.qfttdz0dr,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_r7s04,"Data from: Prevalence of depression, anxiety, adjustment disorders, and somatoform disorders in patients with age-related macular degeneration in Germany",0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_r7s04,1,dryad_r7s04,,,,,https://doi.org/10.5061/dryad.r7s04,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_rao_multiomics,Data and code from: Fatty acid metabolism reprograms immune microenvironment in retinal artery occlusion: Multi-Omics analysis highlights immunometabolic crosstalk,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_rao_multiomics,1,dryad_rao_multiomics,,,,,https://doi.org/10.5061/dryad.98sf7m0wt,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_ravi_cataract_outcomes,RAVI Cataract Surgery Outcome Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_ravi_cataract_outcomes,1,dryad_ravi_cataract_outcomes,,,,,https://doi.org/10.5061/dryad.4p55b,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_retinal_prosthesis_navigation,Visual and non-visual navigation in blind patients with a retinal prosthesis,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_retinal_prosthesis_navigation,1,dryad_retinal_prosthesis_navigation,,,,,https://doi.org/10.5061/dryad.c6147,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_rn38r,"Data from: Do picture-based charts overestimate visual acuity? Comparison of Kay Pictures, Lea Symbols, HOTV and Keeler logMAR charts with Sloan Letters in adults and children",0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_rn38r,1,dryad_rn38r,,,,,https://doi.org/10.5061/dryad.rn38r,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_rn8pk0p70,Socioeconomic status and decreasing incidence of ocular injuries in Bosnia and Herzegovina,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_rn8pk0p70,1,dryad_rn8pk0p70,,,,,https://doi.org/10.5061/dryad.rn8pk0p70,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_rn8pk0pdp,"Detection of SARS-CoV-2 in conjunctival secretion and tears in patients with COVID-19 in a tertiary care centre, South India",0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_rn8pk0pdp,1,dryad_rn8pk0pdp,,,,,https://doi.org/10.5061/dryad.rn8pk0pdp,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_rop_plane_wave_doppler,ROP Plane-Wave Doppler Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_rop_plane_wave_doppler,1,dryad_rop_plane_wave_doppler,,,,,https://doi.org/10.5061/dryad.612jm649r,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_rpgr_cone_rod_wes,RPGR Cone-Rod Dystrophy WES Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_rpgr_cone_rod_wes,1,dryad_rpgr_cone_rod_wes,,,,,https://doi.org/10.5061/dryad.5qfttdz5d,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_sbcc2fr6n,Exploring phenotypic diversity of pigmented traits and iris features in Pakistani population,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_sbcc2fr6n,1,dryad_sbcc2fr6n,,,,,https://doi.org/10.5061/dryad.sbcc2fr6n,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_sbcc2fr7r,Gender and age-related differences of ccular biometric parameters in patients undergoing cataract surgery in Bosnia and Herzegovina,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_sbcc2fr7r,1,dryad_sbcc2fr7r,,,,,https://doi.org/10.5061/dryad.sbcc2fr7r,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_shanghai_myopia_2014_2018,"Age-related change of axial length, spherical equivalent, prevalence of myopia and high myopia in school-age children in Shanghai: 2014 to 2018",0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_shanghai_myopia_2014_2018,1,dryad_shanghai_myopia_2014_2018,,,,,https://doi.org/10.5061/dryad.c2fqz615c,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_sn02v6x2x,Data from: Corneal laser procedure for vision improvement in patients with late stage dry age-related macular degeneration,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_sn02v6x2x,1,dryad_sn02v6x2x,,,,,https://doi.org/10.5061/dryad.sn02v6x2x,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_stargardt_wes,Stargardt Disease WES Variant Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_stargardt_wes,1,dryad_stargardt_wes,,,,,https://doi.org/10.5061/dryad.0qk7f,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_taizhou_cataract_outdoors,The association of outdoor activity and age-related cataract in a rural population of Taizhou Eye Study: phase 1 report,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_taizhou_cataract_outdoors,1,dryad_taizhou_cataract_outdoors,,,,,https://doi.org/10.5061/dryad.gt410,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_tb_uveitis_ifn,Type 1 interferon-inducible gene expression in QuantiFERON Gold TB-positive uveitis: a tool to stratify a high versus low risk of active tuberculosis?,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_tb_uveitis_ifn,1,dryad_tb_uveitis_ifn,,,,,https://doi.org/10.5061/dryad.8jk03jd,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_tmpg4f4vb,Effects of capsular tension ring on surgical outcomes of premium intraocular lens in patients with suspected zonular weakness,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_tmpg4f4vb,1,dryad_tmpg4f4vb,,,,,https://doi.org/10.5061/dryad.tmpg4f4vb,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_toric_iol_incision,Toric Intraocular Lens Incision Outcome Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_toric_iol_incision,1,dryad_toric_iol_incision,,,,,https://doi.org/10.5061/dryad.01n20,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_uveal_melanoma_coog2,COOG2.1 Uveal Melanoma Prognostic Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_uveal_melanoma_coog2,1,dryad_uveal_melanoma_coog2,,,,,https://doi.org/10.5061/dryad.n8pk0p340,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_uveitis_vitreous_biomarkers,Uveitis Vitreous Biomarker Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_uveitis_vitreous_biomarkers,1,dryad_uveitis_vitreous_biomarkers,,,,,https://doi.org/10.5061/dryad.597ch,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_v6wwpzh1b,Data from: Micropulse transscleral cyclophotocoagulation results in secondary glaucoma,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_v6wwpzh1b,1,dryad_v6wwpzh1b,,,,,https://doi.org/10.5061/dryad.v6wwpzh1b,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_v9p0b,Data from: Retinal capillary rarefaction in patients with untreated mild-moderate hypertension,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_v9p0b,1,dryad_v9p0b,,,,,https://doi.org/10.5061/dryad.v9p0b,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_vkh_apoe,VKH APOE Transcriptomics and Proteomics Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_vkh_apoe,1,dryad_vkh_apoe,,,,,https://doi.org/10.5061/dryad.37pvmcvzx,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_xgxd254pk,"Supporting information for: Discrimination ability of central visual field testing using stimulus size I, II, and III and relationship with macular ganglion cell thickness in chiasmal compression",0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_xgxd254pk,1,dryad_xgxd254pk,,,,,https://doi.org/10.5061/dryad.xgxd254pk,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_young_adult_uv_transmission,Individual variation in the transmission of ultraviolet radiation in the young adult eye.,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_young_adult_uv_transmission,1,dryad_young_adult_uv_transmission,,,,,https://doi.org/10.5061/dryad.hg000c2,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dryad_z8w9ghx9c,Accuracy of intraocular lens calculation formulas in cataract patients with steep corneal curvature,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dryad_z8w9ghx9c,1,dryad_z8w9ghx9c,,,,,https://doi.org/10.5061/dryad.z8w9ghx9c,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
dual_scheimpflug_ss_oct_biometry,Dual Scheimpflug and Swept-Source OCT Biometry Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,dual_scheimpflug_ss_oct_biometry,1,dual_scheimpflug_ss_oct_biometry,,,,,https://doi.org/10.6084/m9.figshare.16828996.v1,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
duke_amd_chiu,Duke AMD Pathology OCT Segmentation Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,duke_amd_chiu,1,duke_amd_chiu,,,,,https://people.duke.edu/~sf59/Chiu_IOVS_2011_dataset.htm,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
duke_chiu_boe,Duke OCT DME Dataset (Chiu BOE 2014),0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,duke_chiu_boe,1,duke_chiu_boe,,,mm_retinal_reason,https://huggingface.co/datasets/lxirich/MM-Retinal-Reason/tree/d6243baa82c0914dba3c6f43ca79fdbf856982ef,http://people.duke.edu/~sf59/Chiu_BOE_2014_dataset.htm,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
duke_rpedc,Duke RPE-Drusen Complex OCT Dataset,0.6.0,2026-08-02,2026-08-02,True,current_dataset,A current cataloged data product without a more specific structural role.,duke_rpedc,1,duke_rpedc,,,,,https://people.duke.edu/~sf59/RPEDC_Ophth_2013_dataset.htm,Current data products are counted once. Previous versions and unmodified alternate deposits are links only. Dataset-family counts collapse documented collection/component records and exact task views; derivatives and uncertain overlaps remain separate.
