doi,title,decision,reason,matched_existing_record,relationship_type,confidence
10.5061/dryad.4ch10,Data from: Using matrix and tensor factorizations for the single-trial analysis of population spike trains,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4d0631b,Data from: Spatiotemporal and gender-specific parasitism in two species of gobiid fish,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4fn70,Data from: The effect of Speed of Processing training on microsaccade magnitude,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.4g048,Data from: Unmapped sequencing reads identify additional candidate genes linked to magnetoreception in rainbow trout,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4gv6t,Data from: The geomagnetic environment in which sea turtle eggs incubate affects subsequent magnetic navigation behavior of hatchlings,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4j0zpc8mm,Data from: Biomarker detection and validation for corneal involvement in patients with acute infectious conjunctivitis: A multi-country study,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.4mw6m906b,Data from: The Moorfields AMD database report 2 - fellow eye involvement with neovascular age-related macular degeneration,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",dryad_namd_oct_quant;dryad_namd_visual_prediction,shared_source_cohort_distinct_outcome_task,high
10.5061/dryad.4mw6m90bx,"Supporting CT Data for: Two exceptionally preserved juvenile specimens of Gorgosaurus libratus (Tyrannosauridae, Albertosaurinae) provide new insight into the timing of ontogenetic changes in tyrannosaurids",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4mw6m90d7,Ocular lens morphology is influenced by ecology and metamorphosis in frogs and toads,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.4mw6m90gv,Microgeographic population structuring in a genus of California trapdoor spiders and discovery of an enigmatic new species (Euctenizidae: Promyrmekiaphila korematsui sp. nov.),exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4n15b,Data from: Neutral and selective processes drive population differentiation for Iris hexagona,exclude,Plant genus Iris search collision; not an ocular resource.,,,high
10.5061/dryad.4p2781m,Data from: Molecular evidence for the paraphyly of Scolecophidia and its evolutionary implications,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4p55b,Data from: Outcomes of cataract surgery in urban and rural population in the South Indian State of Andhra Pradesh: Rapid Assessment of Visual Impairment (RAVI) Project,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.4q3d3,Data from: Duration of cord clamping and neonatal outcomes in very preterm infants,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4qrfj6qd1,Data from: Assembling microbial communities: a genomic analysis of a natural experiment in neotropical bamboo internodes,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4qrfj6qhr,Data from: Validation of surface wave spectral measurements from velocity profiling floats,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4qrfj6qm8,Larval salamander retinal population data in response to natural movies from the Chicago Motion Database,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.4tmpg4f99,Structural modulation of π-conjugated linkers in D-π-A dyes based on Triphenylamine dicyanovinylene framework to explore the NLO properties,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4v131,Data from: Optimizing mouse surgery with online rectal temperature monitoring and preoperative heat supply. Effects on post-ischemic acute kidney injury.,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4xgxd2593,The cell adhesion molecule Sdk1 shapes assembly of a retinal circuit that detects localized edges,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.4xgxd25jf,Signatures of a spin-active interface and locally enhanced Zeeman field in a superconductor-chiral material heterostructure,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.4xgxd25rg,Data from: In-orbit test of the weak equivalence principle with atom interferometry,exclude,"Physics, astronomy, or software use of ?orbit?; not an ocular-orbit resource.",,,high
10.5061/dryad.515n9k9,Data from: Timing of perineuronal nets development in the zebra finch song control system correlates with developmental song learning,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.56bq0m1,Data from: Effect of arsenate substitution on phosphate repository of cell: a computational study,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.56f1h,Data from: Quantitative analysis of fundus-image sequences reveals phase of spontaneous venous pulsations,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.56g7v08,Data from: Theoretical conditions for the coexistence of viral strains with differences in phenotypic traits: a bifurcation analysis,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.573n5tb5d,Predicting incremental and future visual change in neovascular age-related macular degeneration using deep learning,exclude,Exact Dryad DOI already cataloged; exclude duplicate record.,dryad_namd_visual_prediction,exact_duplicate,high
10.5061/dryad.573n5tbfv,Data from: Adverse events associated with risdiplam use,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.575p1,"Data from: Broad-scale genetic patterns of New Zealand abalone, Haliotis iris, across a distribution spanning 13° latitude and major oceanic water masses",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.576m2,Data from: Cytoskeletal stability and metabolic alterations in primary human macrophages in long-term microgravity,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.58791,Data from: Retinal capillary rarefaction in patients with type 2 diabetes mellitus,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.58gn0,Data from: Light sensing by opsins and fungal ecology: NOP-1 modulates entry into sexual reproduction in response to environmental cues,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.591gf,"Data from: Identification, visualization and clonal analysis of intestinal stem cells in fish",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.597ch,Data from: Comprehensive analysis of vitreous specimens for uveitis classification: a prospective multicentre observational study,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.59zw3r233,Data from: Elovanoids counteract oligomeric β-Amyloid-induced gene expression and protect photoreceptors,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.59zw3r28t,"Dataset for: Conservation genomics of federally endangered Texella harvester species (Arachnida, Opiliones, Phalangodidae) from cave and karst habitats of central Texas",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.59zw3r2b7,Analysis of rod-cone dystrophy genes reveals unique mutational patterns,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.59zw3r2bh,Data for: The Martian atmospheric waves perturbation Datasets (MAWPD) version 2.0,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.59zw3r2bk,Utility of standard diffusion-weighted magnetic resonance imaging for the identification of ischemic optic neuropathy in giant cell arteritis,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.59zw3r2dr,Out-of-plane ferroelectricity and robust magnetoelectricity in quasi two-dimensional materials,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.5bc8vd7,Data from: Zebrafish differentially process colour across visual space to match natural scenes,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.5dn13,Data from: Significant correlation between retinal venous tortuosity and aqueous vascular endothelial growth factor concentration in eyes with central retinal vein occlusion,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.5ds04gg,Data from: Local weather and body condition influence habitat use and movements on land of molting female southern elephant seals (Mirounga leonina),exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.5gb05,Data from: Predator perspective drives geographic variation in frequency-dependent polymorphism,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.5hqbzkh29,Maternal gut microbiota in pregnancy dictates offspring metabolic phenotype,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.5k0s6,Data from: Epistatic interactions influence terrestrial-marine functional shifts in cetacean rhodopsin,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.5qfttdz19,Association of cataract and sun exposure in geographically diverse populations of India: the case study. first report of the ICMR-EYE SEE study group,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.5qfttdz32,Reconstructing cranial evolution in an extinct hominin,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.5qfttdz5d,WES of the proband with a novel RPGR mutation,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.5t9d1,Data from: Long-term visual outcomes of secondary intraocular lens implantation in children with congenital cataract,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.5tb2rbp1k,Data from: Novel roles of chloroquine and hydroxychloroquine in Graves’ orbitopathy therapy by targeting orbital fibroblasts,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.5x69p8d52,Data from: Awake responses suggest inefficient dense coding in the mouse retina,exclude,Retina term is not sufficient here to establish a distinct reusable eye-data resource from the supplied metadata.,,,high
10.5061/dryad.5x69p8dbg,Charge trapping for controllable persistent luminescence in organics,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.5x69p8dkg,Data from: Toward weather-based forecasting of annual seed production in six European forest tree species,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.612jm649r,Data from: Plane wave Doppler determination of blood flow in retinopathy of prematurity,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.612jm64km,Orbital dependent Coulomb drag in electron-hole bilayer graphene heterostructures,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.61dr5,"Data from: Avian cephalic vascular anatomy, sites of thermal exchange, and the rete ophthalmicum",include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.61f4v,Data from: Performance of Encounternet tags: field tests of miniaturized proximity loggers for use on small animals,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.626tf4f,Data from: Z-DNA and Z-RNA in human disease,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.65f2k,Data from: Hummingbirds control hovering flight by stabilizing visual motion,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.66t1g1jzh,The post-embryonic ontogeny of the early Cambrian trilobite Estaingia bilobata from South Australia: trunk development and phylogenetic implications,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.66t1g1k1x,Examples of misclassified images of papilledema severity by the Deep Learning System,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.676tf,Data from: The role of regional survivor incumbency in the evolutionary recovery of calcareous nannoplankton from the Cretaceous/Paleogene (K/Pg) mass extinction,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.67fs3bs,"Data from: A new echimyid genus (Rodentia, Caviomorpha) in Central Argentina: uncovered diversity of a Brazilian group of mammals in the Pleistocene",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.69p8cz982,Multimodal mucosal and systemic immune characterization of a non-human primate trachoma model highlights the critical role of local immunity during acute phase disease,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.6c7p5,Data from: Historical environment is reflected in modern population genetics and biogeography of an island endemic lizard (Xantusia riversiana reticulata),exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.6cn04,"Data from: Genomic collinearity and the genetic architecture of floral differences between the homoploid hybrid species I. nelsonii and one of its progenitors, I. hexagona",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.6cp6f,Data from: Controlled iris radiance in a diurnal fish looking at prey,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.6djh9w0zs,RNAseq raw counts FLCN positive vs. FLCN negative renal proximal tubular epithelial cells (RPTEC),exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.6djh9w17c,Data for: Global frequency analyses of canine progressive rod-cone degeneration–progressive retinal atrophy and collie eye anomaly using commercial genetic testing data,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.6djh9w17p,Sucrose-preferring gut microbes prevent host obesity by producing exopolysaccharides,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.6djh9w1hw,Data from: Revisiting the charge-density-wave superlattice of 1 T -TiSe 2,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.6hdr7sqxx,International consensus guidance for management of myasthenia gravis,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.6hdr7sr73,"Adsorption of N, He, and Ne on CGe nanoribbons for sensing and optoelectronic applications",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.6kg1sd7,Data from: Association of diabetic retinopathy and diabetic macular edema with renal function in southern Chinese patients with type 2 diabetes mellitus: a single-center observational study,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.6m3n9,Data from: Pigmented anatomy in Carboniferous cyclostomes and the evolution of the vertebrate eye,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.6np02kb,Pinopsin evolved as the ancestral dim-light visual opsin in vertebrates,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.6pm50,Data from: Design of cinnamaldehyde amino acid Schiff base compounds based on the quantitative structure–activity relationship,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.6ss2t,"Data from: Temporal population genetic instability in range edge Western Toads, Anaxyrus boreas",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.6t1g1jx9s,Comparison of antimicrobial resistance genes on the ocular surface of patients with corneal infections in California and Malawi,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.6wwpzgn2p,Dual receptive fields underlying target and wide-field motion sensitivity in looming sensitive descending neurons,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.707kc,Data from: Identification of the Beagle 2 lander on Mars,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.70rxwdc7h,"Data from: A new species in Iris section Pseudoregelia (Iridaceae) from Gansu, China",exclude,Plant genus Iris search collision; not an ocular resource.,,,high
10.5061/dryad.70rxwdc95,Data for: Transient shifts in Bering Sea shelf phytoplankton size structure in response to wind-induced mixing,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.71hp4,"Data from: Cataract surgery visual outcomes and associated risk factors in secondary level eye care centers of L V Prasad Eye Institute, India",include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.72fg9,Data from: Phylogeny of haemosporidian blood parasites revealed by a multi-gene approach,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.73n5tb38p,Spectrophotometric determination of LAP photoinitiator radicalization in ophthalmic applications,needs_manual_review,"Ophthalmic-materials release is relevant, but supplied metadata does not establish an eye-data modality or a reusable resource beyond article-support data.",,,medium
10.5061/dryad.75r59p2,Data from: Optical coherence tomography is highly sensitive in detecting prior optic neuritis,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.76hdr7t64,Data from: Phagocytosed photoreceptor outer segment particles within the retinal pigment epithelium show diurnal rhythmicity and variation between cone subtypes in larval zebrafish,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.79cnp5hw7,Distinct type II opsins in the eye decode light properties for background adaptation and behavioural background preference,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.79cnp5hz8,Sound files of the climbing trees of squirrels,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.79cnp5j4h,Data from: Carrier density crossover and quasiparticle mass enhancement in a doped 5d Mott insulator,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.7h44j0zrp,Charts of TGA and FTIR of biopolemers and their resulted AgNPs,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.7h44j0zt7,Genetic mechanisms and correlational selection structure trait variation in a coral snake mimic,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.7m07n0r,"Data from: Bony labyrinth morphometry reveals hidden diversity in lungless salamanders (Family Plethodontidae): structural correlates of ecology, development, and vision in the inner ear",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.7m0cfxq9r,Understanding decision making factors influencing referrals to vision rehabilitation services at a tertiary medical center,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.7pvmcvf8d,Plasma metabolomes of aged rhesus macaques with and without maculopathies,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.7q37g6b,Data from: All-optical recording and stimulation of retinal neurons in vivo in retinal degeneration mice,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.7q5c7,Data from: Gendered disparities in quality of cataract surgery in a marginalised population in Pakistan: the Karachi marine fishing communities eye and general health survey,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.7r7n7,Data from: Spike-triggered covariance analysis reveals phenomenological diversity of contrast adaptation in the retina,exclude,Retina term is not sufficient here to establish a distinct reusable eye-data resource from the supplied metadata.,,,high
10.5061/dryad.7sqv9s4pm,Data from: Zebrafish retinal ganglion cells asymmetrically encode spectral and temporal information across visual space,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.7t3h6,Data from: A qualitative study of stakeholder views regarding participation in locally commissioned enhanced optometric services,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.7t7d9,Data from: Abandoning sex: multiple origins of asexuality in the ciliate Tetrahymena,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.7vn28,Data from: Upregulation of NLRP3 inflammasome in the tears and ocular surface of dry eye patients,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.7wm37pvt0,Distinct synaptic transfer functions in same-type photoreceptors,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.80gb5mkpj,Data from: Functional genetic diversity in an exploited marine species and its relevance to fisheries management,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.84hc0,Data from: A novel system for bi-ocular eye-tracking in vertebrates with laterally placed eyes,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.857n9,Data from: Copy number variation and expression analysis reveals a nonorthologous pinta gene family member involved in butterfly vision,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.866t1g23p,TIGER: A tdTomato in-vivo genome-editing reporter mouse for investigating precision-editor delivery approaches,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.86f1m6g,Data from: Refining eligibility criteria for amyotrophic lateral sclerosis clinical trials,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8824sd0,Data from: Cattle affect regeneration of the palm species Attalea princeps in a Bolivian forest-savanna mosaic,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8931zcrw5,CCI.net fungal keratitis cases dataset,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.8931zcs04,Compounding heterochrony shapes the salamander visual system across adaptive zones,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8931zcs1b,"Data from: A novel Imatinib analog inhibitor of chronic myeloid leukemia: design, synthesis, and characterization. Explanation of its folded conformation",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8cz8w9gmw,Dynamics of gaze control during prey capture in freely moving mice,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.8cz8w9grb,Doryteuthis pealeii embyronic transcriptome individual stages 16-27 pooled and annotation,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8cz8w9h0v,Data from: Quantifying changes on optical coherence tomography in eyes receiving treatment for neovascular age-related macular degeneration,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.8fh42,Data from: Floral colour change in the eyes of pollinators: testing possible constraints and correlated evolution,exclude,"Ocular keyword hit, but title/metadata does not establish a distinct reusable eye or ophthalmology data resource.",,,high
10.5061/dryad.8gtht76pd,Find the Food First: An Omnivorous Sensory Morphotype Predates Biomechanical Specialization for Plant Based Diets in Phyllostomid Bats,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8jk03jd,Data from: Type 1 interferon-inducible gene expression in QuantiFERON Gold TB-positive uveitis: a tool to stratify a high versus low risk of active tuberculosis?,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.8jt2694,Data from: Synopsis and taxonomic revision of three genera in the snake tribe Sonorini,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8k7jd,Data from: Expansion and diversification of the MSDIN family of cyclic peptide genes in the poisonous agarics Amanita phalloides and A. bisporigera,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8kb87,Data from: Direct and indirect causal effects of heterozygosity on fitness-related traits in Alpine ibex,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8m2g3,Data from: Eye coding mechanisms in early human face event-related potentials,exclude,"Ocular keyword hit, but title/metadata does not establish a distinct reusable eye or ophthalmology data resource.",,,high
10.5061/dryad.8nv72,Data from: Individual variation in cone photoreceptor density in house sparrows: implications for between-individual differences in visual resolution and chromatic contrast,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.8pk0p2p1v,Data from: CMR study comparing antiplatelet therapies in STEMI patients,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8sf7m0cwq,Epidermal club cell densities in fathead minnows: assessment of method and application to a case study,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8sf7m0czv,EMG dataset for gesture recognition with arm translation,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.8th5m,Data from: Phenotypic plasticity in response to environmental heterogeneity contributes to fluctuating asymmetry in plants: first empirical evidence,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.931zcrjrq,Data for: Probing visual sensitivity and attention in mice using reverse correlation,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.95x69p8th,Quantifying the influence of optical coherence tomography beam tilt in the normal adult mouse retina,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.95x69p8vx,Hybrid electromagnetic toroidal vortices,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.963hr,Data from: A large and phylogenetically diverse class of type 1 opsins lacking a canonical retinal binding site,exclude,Retina term is not sufficient here to establish a distinct reusable eye-data resource from the supplied metadata.,,,high
10.5061/dryad.9707661,Clinical characteristics of patients hospitalized for ocular chemical injuries in Shanghai from 2012 to 2017,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.97r9289,Data from: One and two year visual outcomes from the Moorfields age-related macular degeneration database: a retrospective cohort study and an open science resource,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",dryad_namd_oct_quant;dryad_namd_visual_prediction,shared_source_cohort_distinct_outcome_task,high
10.5061/dryad.98sf7m0dv,Correlation between internal pudendal artery stenosis and erectile dysfunction in patients with suspected coronary artery disease,exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
10.5061/dryad.98sf7m0wt,Data and code from: Fatty acid metabolism reprograms immune microenvironment in retinal artery occlusion: Multi-Omics analysis highlights immunometabolic crosstalk,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.9cnp5hqfm,Data from: Ten-year survival trends of neovascular age-related macular degeneration at first presentation,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",dryad_namd_oct_quant;dryad_namd_visual_prediction,shared_source_cohort_distinct_outcome_task,high
10.5061/dryad.9cnp5hqkq,Opponent processing in the retinal mosaic of nymphalid butterflies,include,"Public CC0 Dryad release; official metadata identifies direct ocular, retinal, corneal, lens, or visual-system scientific data.",,,high
10.5061/dryad.9cnp5hqmn,"Integrated plasma proteomic and single-cell immune signaling network signatures demarcate mild, moderate, and severe COVID-19",exclude,Unrelated keyword search hit; not an eye or ophthalmology data resource.,,,high
